idx  name          header    gold    debt    town    rice  output    dams loyalty  wealth     men  morale   skill    arms
  0  Echigo           600      24       0      22      28      30      58      48      62      26      41      23      22
  1  Hitachi          600      25       0      25      36      45      39      41      33      24      60      21      38
  2  Shimotsu         600      58       0      46      43      41      35      38      58      33      73      48      35
  3  Awa              600      36       0      33      51      58      61      53      36      40      81      75      31
  4  Musashi          600      61       0      52      35      37      68      58      49      43      78      63      54
  5  Shinano          600      43       0      47      48      51      52      33      38      41      38      53      46
  6  Noto             600      35       0      41      33      46      38      43      41      27      33      30      21
  7  Ecchu            600      49       0      38      41      31      50      72      63      38      58      53      30
  8  Hida             600      63       0      48      79      80      78      79      70      74      74      61      71
  9  Kiso             800      60       0      64      38      54      60      51      48      46      40      42      33
 10  Suruga           800      36       0      21      25      26      38      23      36      25      31      28      27
 11  Kaga             800      26       0      31      22      34      59      58      61      46      62      50      36
 12  Echizen          800      53       0      61      80      80      75      63      65      70      68      68      65
 13  Mino             800      73       0      78      40      46      80      74      68      72      73      71      63
 14  Mikawa           800      33       0      25      44      30      26      24      38      48      23      53      51
 15  Owari            800      28       0      22      31      26      53      48      53      27      46      51      45
 16  Iseshima         800      38       0      41      36      42      61      73      69      54      68      63      50
 17  Omi              800      26       0      31      38      32      46      39      28      36      34      48      40
 18  Iga              800      68       0      65      48      45      73      65      64      73      61      72      63
 19  Tango            800      42       0      38      58      61      52      74      72      41      53      41      38
 20  Tanba            800      52       0      44      68      70      71      59      54      62      56      58      59
 21  Yamashir         800      29       0      31      25      28      21      31      22      38      21      48      45
 22  Yamato           800      69       0      66      75      80      80      76      77      71      75      74      73
 23  Settsu          1000      62       0      58      80      80      80      71      72      78      77      78      80
 24  Kii             1000      55       0      51      52      48      76      65      60      74      65      75      71
 25  Inaba           1000      58       0      53      69      57      61      58      57      58      61      72      63
 26  Harima          1000      36       0      38      24      21      42      46      45      21      45      26      27
 27  Izumo           1000      43       0      36      21      22      38      32      39      39      36      39      48
 28  Sanbi           1000      26       0      24      38      33      21      27      31      20      27      21      22
 29  Aki             1000      63       0      68      57      61      48      38      46      52      36      56      48
 30  Sanuki          1000      42       0      40      38      36      51      50      48      38      47      31      35
 31  Awa             1000      62       0      68      69      63      63      65      61      69      70      69      58
 32  Iyo             1000      39       0      36      56      58      43      43      52      36      42      37      39
 33  Tosa            1000      38       0      31      26      23      21      27      31      50      26      48      45
 34  Nakamura        1000      21       0      24      22      26      25      20      28      41      23      43      36
 35  Buzen           1000      58       0      51      42      39      58      52      55      49      53      51      56
 36  Chikuhi         1000      32       0      30      35      31      59      58      60      28      56      28      32
 37  Bungo           1000      78       0      76      48      41      76      79      76      68      79      78      80
 38  Higo            1000      51       0      52      61      59      43      42      48      51      40      50      43
 39  Hiyuga          1000      38       0      40      68      65      38      36      45      53      37      55      40
 40  Satuma           800      31       0      31      67      63      36      35      40      37      33      35      30
 41  Prov41           800      49       0      56      71      69      73      70      65      75      69      73      67
 42  Prov42           800      36       0      38      42      39      41      49      47      31      48      30      28
 43  Prov43           800      32       0      30      48      45      39      32      38      46      38      48      46
 44  Prov44           800      53       0      59      73      78      72      70      68      76      71      78      70
 45  Prov45           800      25       0      28      65      61      48      36      39      62      41      59      63
 46                   800      35       0      32      68      63      50      45      43      28      39      31      25
 47                   800      30       0      26      28      31      49      48      50      36      35      32      27
 48                   800      48       0      45      47      47      62      65      61      60      63      61      57
 49                   800      48       0      45      47      47      62      65      61      60      63      61      57
